Week,GeoCode,KPI,seasonality,base_price,acv_distribution,price_discount,feature,display,feature_display,video,audio,digital_display,search,OOH,PR,samples
2018-06-11,geo1,46.05225129,1.005390494,4.341646569,52.43499792,9.458499379,3.911809863,0,2.662875121,2.894550176,0,0,101.9043,0,6.908192626,0
2018-06-18,geo1,45.43264005,0.986385034,4.34086099,52.69300934,9.464793099,4.931711748,0.678040905,0.924245925,2.854226828,0,0,99.1,0,0.548993584,0
2018-06-25,geo1,44.61001109,0.967198579,4.311101891,52.74066259,10.0320436,0.223915424,0,0,2.981780085,0,0,195.0582,0,1.373991498,0
2018-07-02,geo1,45.10308986,0.978548082,4.329076289,52.39517874,7.705409006,4.400450767,0,0.362374055,1.814320862,0,0,96.9,0,1.603985123,0
2018-07-09,geo1,46.37812287,0.986184435,4.330683507,53.26254292,7.133346217,1.335249342,0.46369325,0,1.323475596,0,0,107.12910000000001,0,0.205175533,0
2018-07-16,geo1,45.257164190000005,0.975533586,4.337778736,52.01967997,9.084990925,3.627234086,0.842165556,0,1.247854875,0,0,111.37689999999999,0,4.340158434,0
2018-07-23,geo1,45.85119536,0.971528712,4.337450245,53.21850829,8.583959301,1.990652079,2.122206619,0,1.204516451,0,0,111.80160000000001,0,1.589553283,0
2018-07-30,geo1,47.74395517,0.994120393,4.33401258,53.1497185,8.146541873,3.222698642,2.162888262,0.465592945,1.489978893,0,0,107.59630000000001,0,0,0
2018-08-06,geo1,49.11646936,1.021351315,4.337390629,53.33892481,8.43866243,4.244291352,0.944054928,0,1.440651096,0,0,104.2406,0,8.137228976,0
2018-08-13,geo1,46.71102459,1.022138354,4.321580778,52.32428856,8.531999811,2.596980207,1.493873602,0,2.576449049,0,0,100.7574,0,26.64486589,0
2018-08-20,geo1,48.747242480000004,1.00913456,4.310924727,52.88820875,7.575255673,3.465969378,0.30080605,1.063758591,1.845222204,0,0,98.3,0,7.296802692,0
2018-08-27,geo1,48.14853508,1.016399882,4.307805015,53.24532238,6.693401492,4.172825019,0.53280271,2.680252975,2.829717124,0,0,89.5,0,30.23285399,0
2018-09-03,geo1,47.14462193,1.013337786,4.320471422,52.59022597,8.405326283,2.565468845,2.256649022,0,2.808464194,0,0,101.522,0,38.15701825,0
2018-09-10,geo1,46.286292249999995,1.026842684,4.348751517,52.59542035,10.0532246,2.900951686,0.698064982,0,2.643001603,0,0,118.2158,0,10.16350441,0
2018-09-17,geo1,46.78612417,1.028375527,4.374013496,52.99852409,7.9262757,3.339863117,2.809942002,2.085173049,2.537490513,0,0,124.54499999999999,0,0.005953267,0
2018-09-24,geo1,44.49445067,1.007957575,4.383420349,53.99540335,8.028220962,3.488193839,0.655512788,2.082823602,2.383884757,0,0,113.24589999999999,0,0.926638425,0
