Delta,rc_fb_total_imp,rc_DIS_IMP,rc_US_YT_percinview,rc_RelAVG_P_CapM,fb_total_spd,DIS_COST,US_YT_Spend
1.15,9114.978167561232,442.64888303994667,1868.6152565657394,-62477.367177277396,5395852.2265,3081844.6327375,1558424.7049999998
1.2000000000000002,9217.871982666664,447.7230597587768,1899.7289721872658,-63930.32920465595,5521337.1620000005,3153515.4381500003,1594667.1400000001
1.25,9318.95861031115,452.7149019235512,1930.4941800624365,-65383.291232034506,5646822.0975,3225186.2435625,1630909.575
1.3000000000000003,9418.302384439856,457.6272049943218,1960.9189110549632,-66836.25325941306,5772307.033000001,3296857.0489750006,1667152.01
1.35,9515.96421540645,462.46261917601805,1991.0109138133703,-68289.21528679162,5897791.9685,3368527.8543875003,1703394.445
1.4000000000000004,9612.00183088379,467.22365956101567,2020.7776681422256,-69742.17731417017,6023276.904000001,3440198.6598000005,1739636.8800000001
1.4500000000000002,9706.46999581065,471.91271538462024,2050.2263975734822,-71195.13934154867,6148761.839500001,3511869.4652125,1775879.315
1.5,9799.42071353714,476.5320584883448,2079.3640812002122,-72648.10136892722,6274246.775,3583540.270625,1812121.75
1.5500000000000003,9890.903410073719,481.0838510702597,2108.19746482186,-74101.06339630578,6399731.710500001,3655211.0760375005,1848364.185
1.6,9980.965103128576,485.5701527950587,2136.7330714500276,-75554.02542368433,6525216.646,3726881.88145,1884606.6199999999
1.6500000000000004,10069.650557421846,489.99292732728645,2164.9772112198407,-77006.98745106289,6650701.581500001,3798552.686862501,1920849.0550000002
1.7000000000000002,10157.002427600324,494.35404834349174,2192.9359907459,-78459.94947844138,6776186.517,3870223.4922750005,1957091.49
1.75,10243.06138992589,498.6553050726652,2220.615321961115,-79912.91150581994,6901671.4525,3941894.2976875002,1993333.9249999998
1.8000000000000003,10327.86626378633,502.8984074103646,2248.0209304733435,-81365.8735331985,7027156.388,4013565.1031000004,2029576.36
1.85,10411.454123961157,507.0849906448275,2275.1583634699928,-82818.83556057705,7152641.3235,4085235.9085125,2065818.795
1.9000000000000004,10493.860404477571,511.2166198302293,2302.032997201779,-84271.7975879556,7278126.259000001,4156906.7139250007,2102061.23
1.9500000000000002,10575.118994807126,515.2947938399157,2328.6500440707896,-85724.7596153341,7403611.1945,4228577.5193375,2138303.665
2,10655.262329070712,519.3209491258021,2355.014559350093,-87177.72164271266,7529096.13,4300248.324750001,2174546.0999999996
2.0500000000000003,10734.321468858863,523.296463211067,2381.13144755573,-88630.68367009121,7654581.0655000005,4371919.130162501,2210788.535
2.1,10812.32618020894,527.2226579381386,2407.005468494608,-90083.64569746976,7780066.001,4443589.935575,2247030.9699999997
2.1500000000000004,10889.305005228845,531.1008024920011,2432.641243007034,-91536.60772484832,7905550.936500001,4515260.740987501,2283273.4050000003
2.2,10965.285328810802,534.9321162182605,2458.0432584232185,-92989.56975222687,8031035.872,4586931.5464,2319515.84
2.25,11040.293440835667,538.7177712526172,2483.2158737495774,-94442.53177960537,8156520.8075,4658602.3518125005,2355758.275
2.3000000000000003,11114.354594228324,542.4588949761819,2508.1633246028796,-95895.49380698393,8282005.743000001,4730273.157225001,2392000.71
2.35,11187.493059195927,546.1565723111853,2532.88972790516,-97348.45583436248,8407490.6785,4801943.9626375,2428243.145
2.4000000000000004,11259.732173945638,549.8118478688411,2557.399086354417,-98801.41786174104,8532975.614,4873614.768050001,2464485.58
2.45,11331.094392154017,553.4257279613521,2581.695292684133,-100254.37988911959,8658460.5495,4945285.5734625,2500728.015
