Week,GeoCode,KPI,d_Intercept,d_seasonality_t,d_base_price_t,d_acv_distribution_t,d_price_discount_t,d_feature_t,d_display_t,d_feature_display_t,d_video_t,d_audio_t,d_digital_display_t,d_search_t,d_OOH_t,d_PR_t,d_samples_t
2018-08-20,geo8,5.897048047,-3.072483000531702,4.996638976413083,-2.5183419611530655,5.973862156017623,0,0,0,0,-0.2079969437886151,0,0,0.24726996062548118,0,0.24848488859136675,0
2018-08-27,geo8,6.039873253,-3.072483000531702,5.0339261393994486,-2.5139881419512813,6.029943363376554,0,0,0,0,-0.2559201972068301,0,0,0.24312416949512797,0,0.4264318296913371,0
2018-09-03,geo8,5.507806117,-3.072483000531702,4.892996132906372,-2.5093530244069036,5.903990594975927,0,0,0,0,-0.25914573724526435,0,0,0.24757939783696445,0,0.3910750168932036,0
2018-09-10,geo8,5.2636741460000005,-3.072483000531702,4.887212556200911,-2.51136250106715,5.904601659405547,0,0,0,0,-0.2518701912430989,0,0,0.25494652348592733,0,0.3284229791119775,0
2018-09-17,geo8,5.3807335169999995,-3.072483000531702,4.885520289543806,-2.5164818277954644,5.948978306525766,0,0,0,0,-0.24610403667373087,0,0,0.25852445088994613,0,0.24424358325446047,0
2018-09-24,geo8,5.879589961,-3.072483000531702,5.319569017413086,-2.5264073775367666,5.996177122407689,0,0,0,0,-0.2379203927704684,0,0,0.2552426154729574,0,0.17604049591320614,0
2018-10-01,geo8,5.724953655,-3.072483000531702,5.821250584946175,-2.5282080135329488,5.997254317024913,0,0,0,0,-0.2769255478315336,0,0,0.2569359441747282,0,0.25298534095979947,0
2018-10-08,geo8,5.486712654,-3.072483000531702,5.649244463263612,-2.5212071911648546,5.897917035651683,0,0,0,0,-0.2900370763200585,0,0,0.2558359217127105,0,0.23132502345499673,0
2018-10-15,geo8,5.188475123,-3.072483000531702,5.122336046873693,-2.5213213399952656,5.892680596877631,0,0,0,0,-0.2647304928909341,0,0,0.2571282966928381,0,0.2514255939281865,0
2018-10-22,geo8,5.712987744,-3.072483000531702,5.248534416498819,-2.5113039848381424,5.956858282782739,0,0,0,0,-0.2533046967145883,0,0,0.25600063020991976,0,0.17377981663668168,0
2018-10-29,geo8,5.887886663000001,-3.072483000531702,5.075068176548937,-2.506686704342668,6.04335678114135,0,0,0,0,-0.19247685745282217,0,0,0.2526194939646245,0,0.10691559852161125,0
